prime,length,reciprocal
2,1,0.5
3,1,0.3
5,1,0.2
7,6,0.142857
11,2,0.09
13,6,0.076923
17,16,0.0588235294117647
19,18,0.05263157894736842
23,22,0.043478260869565216
29,28,0.034482758620689655
31,15,0.032258064516129
37,3,0.027
41,5,0.02439
43,21,0.023255813953488372
47,46,0.02127659574468085
53,13,0.0188679245283
59,58,0.01694915254237288
61,60,0.01639344262295082
67,33,0.014925373134328358
71,35,0.014084507042253521
73,8,0.01369863
79,13,0.0126582278481
83,41,0.012048192771084338
89,44,0.011235955056179775
97,96,0.010309278350515464
101,4,0.0099
103,34,0.009708737864077669
107,53,0.009345794392523364
109,108,0.009174311926605505
113,112,0.008849557522123894
127,42,0.007874015748031496
131,130,0.007633587786259542
137,8,0.00729927
139,46,0.007194244604316547
149,148,0.006711409395973154
151,75,0.006622516556291391
157,78,0.006369426751592357
163,81,0.006134969325153374
167,166,0.005988023952095809
173,43,0.005780346820809248
179,178,0.00558659217877095
181,180,0.0055248618784530384
191,95,0.005235602094240838
193,192,0.0051813471502590676
197,98,0.005076142131979695
199,99,0.005025125628140704
211,30,0.004739336492890996
223,222,0.004484304932735426
227,113,0.004405286343612335
229,228,0.004366812227074236
233,232,0.004291845493562232
239,7,0.0041841
241,30,0.004149377593360996
251,50,0.00398406374501992
257,256,0.0038910505836575876
263,262,0.0038022813688212928
269,268,0.0037174721189591076
271,5,0.00369
277,69,0.0036101083032490976
281,28,0.0035587188612099642
283,141,0.0035335689045936395
293,146,0.0034129692832764505
307,153,0.003257328990228013
311,155,0.003215434083601286
313,312,0.003194888178913738
317,79,0.0031545741324921135
331,110,0.0030211480362537764
337,336,0.002967359050445104
347,173,0.002881844380403458
349,116,0.0028653295128939827
353,32,0.0028328611898017
359,179,0.002785515320334262
367,366,0.0027247956403269754
373,186,0.002680965147453083
379,378,0.002638522427440633
383,382,0.0026109660574412533
389,388,0.002570694087403599
397,99,0.0025188916876574307
401,200,0.0024937655860349127
409,204,0.0024449877750611247
419,418,0.002386634844868735
421,140,0.0023752969121140144
431,215,0.002320185614849188
433,432,0.0023094688221709007
439,219,0.002277904328018223
443,221,0.002257336343115124
449,32,0.0022271714922048997
457,152,0.002188183807439825
461,460,0.0021691973969631237
463,154,0.0021598272138228943
467,233,0.0021413276231263384
479,239,0.0020876826722338203
487,486,0.002053388090349076
491,490,0.002036659877800407
499,498,0.002004008016032064
503,502,0.0019880715705765406
509,508,0.0019646365422396855
521,52,0.0019193857965451055
523,261,0.0019120458891013384
541,540,0.0018484288354898336
547,91,0.0018281535648994515
557,278,0.0017953321364452424
563,281,0.0017761989342806395
569,284,0.0017574692442882249
571,570,0.0017513134851138354
577,576,0.0017331022530329288
587,293,0.0017035775127768314
593,592,0.0016863406408094434
599,299,0.001669449081803005
601,300,0.0016638935108153079
607,202,0.0016474464579901153
613,51,0.0016313213703099511
617,88,0.0016207455429497568
619,618,0.0016155088852988692
631,315,0.001584786053882726
641,32,0.0015600624024961
643,107,0.0015552099533437014
647,646,0.0015455950540958269
653,326,0.0015313935681470138
659,658,0.0015174506828528073
661,220,0.0015128593040847202
673,224,0.0014858841010401188
677,338,0.0014771048744460858
683,341,0.0014641288433382138
691,230,0.001447178002894356
701,700,0.0014265335235378032
709,708,0.0014104372355430183
719,359,0.0013908205841446453
727,726,0.001375515818431912
733,61,0.001364256480218281
739,246,0.0013531799729364006
743,742,0.0013458950201884253
751,125,0.0013315579227696406
757,27,0.001321003963011889
761,380,0.001314060446780552
769,192,0.0013003901170351106
773,193,0.00129366106080207
787,393,0.0012706480304955528
797,199,0.0012547051442910915
809,202,0.0012360939431396785
811,810,0.0012330456226880395
821,820,0.001218026796589525
823,822,0.001215066828675577
827,413,0.0012091898428053204
829,276,0.0012062726176115801
839,419,0.0011918951132300357
853,213,0.0011723329425556857
857,856,0.0011668611435239206
859,26,0.0011641443538998836
863,862,0.0011587485515643105
877,438,0.0011402508551881414
881,440,0.0011350737797956867
883,441,0.0011325028312570782
887,886,0.0011273957158962795
907,151,0.0011025358324145535
911,455,0.0010976948408342481
919,459,0.001088139281828074
929,464,0.001076426264800861
937,936,0.0010672358591248667
941,940,0.0010626992561105207
947,473,0.0010559662090813093
953,952,0.001049317943336831
967,322,0.001034126163391934
971,970,0.0010298661174047373
977,976,0.0010235414534288639
983,982,0.001017293997965412
991,495,0.0010090817356205853
997,166,0.0010030090270812437
1009,252,0.0009910802775024777
1013,253,0.0009871668311944718
1019,1018,0.0009813542688910696
1021,1020,0.0009794319294809011
1031,103,0.0009699321047526673
1033,1032,0.000968054211035818
1039,519,0.0009624639076034649
1049,524,0.0009532888465204957
1051,1050,0.0009514747859181732
1061,212,0.000942507068803016
1063,1062,0.0009407337723424271
1069,1068,0.0009354536950420954
1087,1086,0.0009199632014719411
1091,1090,0.0009165902841429881
1093,273,0.0009149130832570906
1097,1096,0.0009115770282588879
1103,1102,0.0009066183136899365
1109,1108,0.0009017132551848512
1117,558,0.0008952551477170994
1123,561,0.0008904719501335708
1129,564,0.0008857395925597874
1151,575,0.0008688097306689834
